scorer,Gianna,Gianna,Gianna,Gianna,Gianna,Gianna
bodyparts,Nose,Nose,Left Paw,Left Paw,Right Paw,Right Paw
coords,x,y,x,y,x,y
labeled-data\vertical18.1\img089527.png,224.108938547486,442.08579409417393,233.04748603351948,774.088986432562,206.2318435754189,720.4577015163609
labeled-data\vertical18.1\img091280.png,275.18635275339193,209.6835594573024,252.20151636073422,458.68595371109336,235.6013567438148,375.68515562649634
labeled-data\vertical18.1\img091396.png,220.27813248204302,299.0690343176376,279.0171588188348,462.51675977653633,206.2318435754189,485.50159616919393
labeled-data\vertical18.1\img091419.png,167.92378292098954,439.53192338387873,287.9557063048683,461.2398244213887,194.7394253790901,568.502394253791
labeled-data\vertical18.1\img094014.png,293.0634477254589,217.34517158818824,280.29409417398233,618.3028731045492,290.5095770151636,421.65482841181165
labeled-data\vertical18.1\img094023.png,298.1711891460495,226.28371907422184,317.32521947326404,514.8711093375898,299.44812450119707,442.08579409417393
labeled-data\vertical18.1\img094046.png,300.72505985634484,232.66839584996,327.5407023144453,306.73064644852354,316.0482841181165,513.5941739824422
labeled-data\vertical18.1\img094068.png,270.0786113328013,231.39146049481235,290.5095770151636,371.8543495610535,287.9557063048683,574.8870710295291
labeled-data\vertical18.1\img094082.png,258.5861931364725,223.72984836392652,276.4632881085395,439.53192338387873,222.83200319233833,516.1480446927375
labeled-data\vertical18.1\img094086.png,252.20151636073422,222.45291300877886,264.9708699122107,453.57821229050285,212.6165203511572,459.962889066241
labeled-data\vertical18.1\img094092.png,256.0323224261772,225.00678371907418,240.70909816440542,486.7785315243416,210.06264964086188,380.79289704708697
labeled-data\vertical18.1\img094100.png,252.20151636073422,231.39146049481235,229.21667996807662,544.2406225059857,216.44732641660016,318.22306464485234
labeled-data\vertical18.1\img094111.png,262.41699920191536,240.33000798084595,233.04748603351948,585.1025538707104,239.43216280925776,360.3619313647247
labeled-data\vertical18.1\img094136.png,279.0171588188348,232.66839584996,272.6324820430966,648.9493216280927,282.84796488427764,451.02434158020753
labeled-data\vertical18.1\img094147.png,281.5710295291301,233.94533120510766,308.38667198723056,544.2406225059857,285.40183559457296,504.6556264964087
labeled-data\vertical18.1\img094153.png,284.1249002394254,231.39146049481235,319.87909018355936,466.3475658419793,293.0634477254589,540.4098164405427
labeled-data\vertical18.1\img094160.png,285.40183559457296,233.94533120510766,327.5407023144453,380.79289704708697,290.5095770151636,574.8870710295291
labeled-data\vertical18.1\img094171.png,270.0786113328013,231.39146049481235,276.4632881085395,348.86951316839577,281.5710295291301,610.6412609736633
labeled-data\vertical18.1\img094190.png,239.43216280925776,227.5606544293695,253.47845171588187,396.11612130885874,238.1552274541101,633.6260973663209
labeled-data\vertical18.1\img094199.png,231.77055067837182,217.34517158818824,244.53990422984828,416.547086991221,210.06264964086188,620.8567438148444
labeled-data\vertical18.1\img094206.png,230.49361532322416,210.96049481245007,235.6013567438148,452.3012769353552,187.07781324820428,526.3635275339186
labeled-data\vertical18.1\img094209.png,227.93974461292896,213.51436552274538,226.6628092577813,472.7322426177175,178.13926576217068,485.50159616919393
labeled-data\vertical18.1\img094213.png,227.93974461292896,212.23743016759772,215.1703910614525,495.71707901037513,175.58539505187548,433.14724660814045
labeled-data\vertical18.1\img133773.png,257.30925778132473,176.48324022346355,259.86312849162005,435.70111731843576,215.1703910614525,327.1616121308858
labeled-data\vertical18.1\img133796.png,281.5710295291301,186.6987230646448,247.0937749401436,528.9173982442139,280.29409417398233,323.33080606544286
labeled-data\vertical18.1\img133810.png,295.6173184357542,190.52952913008767,280.29409417398233,567.2254588986433,302.0019952114924,364.19273743016754
labeled-data\vertical18.1\img133819.png,304.5558659217877,180.31404628890652,307.109736632083,504.6556264964087,316.0482841181165,401.22386272944937
labeled-data\vertical18.1\img133834.png,319.87909018355936,181.59098164405418,353.0794094173982,296.5151636073423,340.31005586592187,434.4241819632881
labeled-data\vertical18.1\img133887.png,266.2478052673582,172.6524341580207,280.29409417398233,365.4696727853152,259.86312849162005,527.6404628890663
labeled-data\vertical18.1\img133894.png,266.2478052673582,175.2063048683159,271.35554668794884,394.8391859537111,217.7242617717477,431.8703112529928
labeled-data\vertical18.1\img133900.png,264.9708699122107,180.31404628890652,266.2478052673582,424.20869912210696,215.1703910614525,353.9772545889864
labeled-data\vertical18.1\img133905.png,266.2478052673582,185.42178770949715,254.75538707102942,440.8088587390264,224.108938547486,297.79209896248994
labeled-data\vertical18.1\img133910.png,264.9708699122107,190.52952913008767,256.0323224261772,461.2398244213887,226.6628092577813,260.76097366320823
labeled-data\vertical18.1\img133954.png,307.109736632083,184.1448523543495,309.6636073423783,459.962889066241,316.0482841181165,383.3467677573823
labeled-data\vertical18.1\img133965.png,316.0482841181165,187.97565841979247,349.24860335195535,315.66919393455703,328.81763766959284,411.4393455706305
