Start Recording GUI ,2
712983,-0.00204,,N
713020,-0.00132,,N
713032,-0.0015,,N
713045,-0.00182,,N
713057,-0.0006599999,,N
713069,-0.00177,,N
713081,-0.00051,,N
713093,-0.00075,,N
713105,-0.00139,,N
713119,-0.0002,,N
713130,-0.00166,,N
713142,-0.0005,,N
713155,-0.00198,,N
713167,-0.00083,,N
713180,-0.00225,,N
713192,-0.00073,,N
713204,-0.00161,,N
713216,-0.00092,,N
713227,-0.00049,,N
713241,-0.00192,,N
713252,0.00062,,N
713264,-0.00213,,N
713277,-2e-05,,N
713289,-0.00202,,N
713301,-0.00117,,N
713313,-0.0014,,N
713326,-0.00151,,N
713338,-0.00105,,N
713351,-0.00208,,N
713363,-0.00021,,N
713374,-0.00179,,N
713387,-9e-05,,N
713399,-0.00178,,N
713412,5e-05,,N
713424,-0.00195,,N
713435,-0.00024,,N
713447,-0.00169,,N
713460,-0.00143,,N
713473,-0.00056,,N
713484,-0.00291,,N
713496,0.00079,,N
713508,-0.00329,,N
713520,-0.00044,,N
713534,-0.00105,,N
713545,-0.00137,,N
713558,3e-05,,N
713570,-0.00225,,N
713582,6e-05,,N
713595,-0.002,,N
713606,-0.00054,,N
713618,-0.00092,,N
713630,-0.00251,,N
713643,0.00031,,N
713655,-0.00277,,N
713667,-5e-05,,N
713680,-0.00153,,N
713692,-0.00175,,N
713704,0.00033,,N
,t
713911,0.00126,,N
713923,0.00021,,N
713936,0.00049,,N
713949,0.00114,,N
713960,-0.00013,,N
713972,0.0019,,N
713985,-0.0006,,N
713998,0.00169,,N
714010,-0.00025,,N
714022,0.00102,,N
714034,0.00076,,N
714046,-0.00014,,N
714058,0.00172,,N
714070,-0.00114,,N
714083,0.00236,,N
714095,-0.00055,,N
714107,0.00114,,N
714120,0.0014,,N
714131,-0.00081,,N
714143,0.00316,,N
714156,-0.00156,,N
714169,0.00252,,N
714181,-0.00035,,N
714193,0.00015,,N
714205,0.00144,,N
714217,-0.0009599999,,N
714229,0.00204,,N
714241,-0.00056,,N
714253,0.00113,,N
714266,0.00083,,N
714277,0.00011,,N
714291,0.00168,,N
714302,-9e-05,,N
,t
714510,-0.00227,,N
714522,-0.00155,,N
714534,-0.00072,,N
714546,-0.00291,,N
714559,0.00029,,N
714570,-0.00294,,N
714584,-0.00041,,N
714595,-0.00172,,N
714608,-0.002,,N
714619,-0.00034,,N
714632,-0.00271,,N
714645,-0.00016,,N
714656,-0.00218,,N
714668,-0.00065,,N
714680,-0.0015,,N
714694,-0.00153,,N
714706,-0.00078,,N
714717,-0.00242,,N
714730,2e-05,,N
714742,-0.00301,,N
714754,-6e-05,,N
714767,-0.00238,,N
714778,-0.00136,,N
714791,-0.0005900001,,N
714803,-0.00239,,N
714816,0.00033,,N
714827,-0.00266,,N
714839,-0.00043,,N
714851,-0.00194,,N
714864,-0.00129,,N
714877,-0.00133,,N
714888,-0.00173,,N
714901,-0.00127,,N
714912,-0.00175,,N
714926,-0.00127,,N
714938,-0.00187,,N
